device_angle,distance_to_door,AM_or_PM,mall_or_street,average_person_size,video_walkin,video_walkout,predict_walkin,predict_walkout,wifi_walkin,wifi_walkout,sales_in_next_15_min,sales_in_next_15_to_30_min,groundtruth_walkin
1,1,1,1,3384.5,7,16,23,24,28,45,7,0,2
3,1,0,1,2299.5,27,27,9,8,15,8,0,3,20
1,1,0,2,1852.0,2,0,2,2,18,8,0,1,3
3,1,0,2,1506.0,9,6,10,9,53,46,3,0,4
2,2,1,1,3571.5,0,0,4,4,6,8,0,0,0
1,1,1,1,3384.5,30,36,21,23,48,52,6,8,50
3,1,1,1,1327.5,47,42,39,36,16,14,3,2,52
1,1,1,2,1852.0,10,9,3,4,7,7,3,3,7
2,2,1,1,2360.5,5,5,3,3,2,2,0,0,4
3,1,0,2,1506.0,11,11,10,9,42,46,1,1,6
2,2,1,1,3571.5,6,7,2,2,1,4,2,0,4
2,1,1,1,1161.0,9,7,24,23,17,16,3,4,23
3,2,1,2,1811.0,13,9,6,7,2,1,1,2,13
1,1,1,2,1852.0,1,1,1,1,4,7,1,1,1
2,2,1,1,4376.0,0,0,0,0,2,2,1,0,5
2,2,1,1,4077.5,8,11,4,6,5,5,2,2,13
2,2,1,2,1224.0,5,8,12,9,13,11,1,1,5
3,1,1,1,1327.5,31,30,0,0,8,9,2,4,31
2,2,0,2,3057.5,5,6,6,6,0,1,0,0,1
2,2,1,1,890.0,2,3,2,3,5,3,1,0,0
2,1,1,1,1161.0,1,1,0,0,0,2,0,0,0
3,1,1,1,1327.5,3,5,0,0,8,5,1,0,4
3,2,1,2,1811.0,4,5,5,6,0,0,1,0,2
2,2,1,1,4114.0,6,2,2,2,2,1,0,0,9
2,2,1,1,4114.0,4,6,3,3,3,1,0,0,2
2,2,1,1,1252.5,16,15,32,32,2,3,2,1,24
2,2,1,1,4114.0,4,6,2,3,4,2,0,0,11
2,2,0,1,3571.5,2,2,2,1,2,1,0,0,2
2,2,1,2,1224.0,48,53,6,7,5,3,3,1,6
2,2,1,1,1073.25,4,4,5,5,1,1,1,3,0
2,2,1,1,890.0,10,8,3,3,1,2,0,1,4
2,2,1,2,3057.5,0,0,0,0,3,3,0,0,0
3,1,1,1,1943.0,1,3,8,5,10,13,0,0,4
2,2,0,1,1073.25,3,4,16,13,14,5,1,0,0
2,1,1,1,1161.0,17,20,28,24,23,21,3,2,36
3,1,1,1,2299.5,23,22,27,26,8,12,1,2,31
1,1,1,2,1852.0,0,0,4,4,5,5,0,0,1
2,2,1,1,3571.5,2,3,4,3,0,3,0,1,2
1,1,1,1,3384.5,4,4,20,20,10,11,1,2,10
2,2,0,2,3057.5,8,7,3,3,0,0,1,0,0
2,2,1,1,4077.5,3,6,0,1,4,1,3,3,15
2,2,1,1,2360.5,1,1,2,2,8,1,0,1,1
3,2,0,2,1811.0,0,2,4,3,7,2,1,1,0
1,1,1,1,3384.5,10,11,14,14,10,4,2,1,17
2,2,0,1,4077.5,1,4,2,3,3,3,0,2,3
3,1,1,2,1506.0,15,11,6,6,46,45,1,0,5
1,1,1,2,1852.0,3,3,4,4,6,2,0,0,4
3,1,0,1,2299.5,14,11,9,10,19,6,0,1,17
2,2,1,2,3057.5,7,8,9,9,4,0,2,3,8
1,1,0,2,1852.0,1,1,1,3,10,7,1,1,3
3,1,1,1,1327.5,32,37,0,0,13,7,4,3,36
2,2,1,1,4114.0,2,3,1,1,2,1,0,0,1
2,2,1,1,4114.0,5,3,4,3,0,0,0,0,8
2,2,1,1,4114.0,2,6,2,3,3,3,0,0,1
2,2,1,2,3057.5,2,1,5,5,2,0,2,2,5
2,2,1,1,890.0,3,2,2,2,2,2,1,1,3
2,2,1,1,4077.5,3,2,1,1,2,3,2,1,5
3,1,1,2,1506.0,8,8,9,8,28,28,3,3,7
2,2,1,1,1252.5,23,32,18,20,9,11,6,6,27
3,1,1,2,1506.0,13,10,6,6,32,31,2,1,4
1,1,0,2,1852.0,0,0,0,0,0,0,0,0,0
2,2,1,1,2064.333333,15,17,0,0,2,6,2,1,4
2,2,1,1,1252.5,29,22,14,18,6,5,6,4,29
1,1,1,2,1852.0,4,4,0,0,5,3,2,0,6
3,1,0,2,1506.0,4,3,6,6,17,19,0,0,2
3,1,1,2,1506.0,14,8,7,8,26,19,0,0,5
3,1,1,2,1506.0,6,2,9,10,39,35,1,1,2
1,1,1,1,3384.5,8,9,24,24,11,15,3,3,22
2,1,1,1,1161.0,10,8,28,28,32,37,1,3,32
3,2,1,2,1811.0,0,0,2,4,0,0,0,2,0
2,2,1,1,4114.0,9,11,2,1,1,2,0,0,6
2,2,0,1,1252.5,5,10,20,15,1,1,3,1,7
3,2,1,2,1811.0,0,0,3,3,1,3,0,0,0
2,2,1,1,3571.5,5,8,1,1,6,3,2,0,1
2,2,1,1,2064.333333,3,6,0,0,4,1,1,0,1
2,2,1,1,2360.5,2,2,3,3,2,3,0,0,0
1,1,1,2,1852.0,4,8,3,7,3,8,0,3,13
2,2,1,1,4077.5,2,2,0,0,2,0,0,0,5
2,2,1,1,4077.5,0,0,1,1,0,2,0,0,0
1,1,0,1,3384.5,47,36,18,18,41,40,5,7,91
2,2,1,1,4376.0,3,3,0,0,0,1,1,0,3
1,1,0,2,1852.0,0,1,6,5,3,4,1,0,3
2,2,1,1,2485.5,16,12,13,13,46,39,0,0,43
1,1,1,2,1852.0,8,4,6,7,7,5,2,1,9
3,1,1,1,1327.5,14,12,0,0,9,5,4,3,7
1,1,1,1,3384.5,0,1,21,20,4,20,0,0,0
3,1,0,2,1506.0,4,4,7,6,55,46,0,1,5
2,1,1,1,1161.0,9,7,20,22,10,12,3,1,17
2,2,1,1,1252.5,27,34,22,24,15,13,3,10,61
2,2,1,1,4114.0,3,3,1,3,0,0,0,0,3
1,1,1,1,3384.5,0,0,16,18,13,37,0,0,0
2,2,0,1,2360.5,7,6,3,3,4,2,0,0,2
2,2,1,2,1224.0,14,9,2,1,2,4,1,2,8
2,2,1,1,2360.5,4,6,2,2,6,3,0,0,3
2,2,1,1,4114.0,0,0,0,0,1,0,0,0,0
2,2,1,1,4077.5,0,0,1,1,1,1,0,0,1
2,2,1,1,2064.333333,17,19,0,0,3,4,4,0,4
2,2,1,1,2360.5,14,14,4,3,7,11,3,2,16
1,1,1,2,1852.0,6,6,6,6,7,8,1,4,9
3,1,1,1,2299.5,5,4,13,14,3,5,0,0,3
2,2,1,2,3057.5,4,3,18,17,2,0,1,1,0
3,1,1,2,1506.0,6,6,2,2,18,23,0,0,3
2,2,1,1,3571.5,0,0,0,0,3,3,0,0,0
2,2,0,1,890.0,3,4,5,6,3,1,0,1,6
3,1,1,1,1943.0,16,11,15,14,12,10,4,4,21
2,2,0,2,1224.0,1,3,5,5,8,7,0,1,3
2,2,1,1,2360.5,6,9,3,4,5,4,1,1,5
2,1,1,1,1161.0,4,9,15,16,10,11,3,1,13
1,1,1,1,3384.5,12,10,24,26,17,16,3,2,17
2,2,1,1,3571.5,1,2,3,3,4,3,1,0,1
3,1,1,1,1943.0,10,3,16,14,8,8,1,7,23
2,2,1,1,4114.0,0,0,0,0,0,2,0,0,0
1,1,1,1,3384.5,32,22,25,23,34,30,3,4,61
2,2,1,1,1252.5,2,0,38,36,4,4,5,3,14
2,2,1,1,4077.5,0,1,0,1,5,3,1,3,15
1,1,1,2,1852.0,0,1,8,8,2,5,1,1,1
2,2,1,1,2064.333333,3,5,0,0,4,1,1,0,2
3,1,1,1,1327.5,44,45,0,0,15,13,4,2,47
3,1,1,2,1506.0,1,0,7,8,32,30,0,0,0
3,1,1,1,2299.5,19,25,23,26,14,19,2,0,22
3,1,1,1,1327.5,1,1,0,0,5,3,0,0,0
2,2,0,2,1224.0,1,2,4,4,2,1,3,3,2
1,1,1,1,3384.5,17,22,12,15,19,22,4,1,23
3,1,1,1,1327.5,17,14,21,21,5,4,2,0,18
2,2,1,1,2360.5,4,3,2,2,3,4,1,3,6
3,2,0,2,1811.0,5,5,6,4,3,4,4,3,7
2,2,1,2,3057.5,1,3,10,9,0,1,1,3,8
2,1,1,1,1161.0,12,10,16,16,11,13,1,2,18
2,2,1,1,4114.0,0,2,3,4,0,0,0,0,0
2,2,0,1,1252.5,18,17,17,17,4,1,2,3,17
2,2,1,1,3571.5,0,0,2,2,3,2,0,0,0
2,2,1,1,4077.5,0,0,2,2,2,4,1,1,3
2,2,1,1,2485.5,0,0,2,3,1,1,0,0,0
2,2,0,2,1224.0,24,21,6,6,3,3,0,0,4
1,1,1,2,1852.0,0,1,5,8,3,6,1,1,2
2,2,0,1,2360.5,1,3,3,3,11,5,2,1,1
1,1,1,1,3384.5,50,53,24,22,11,23,5,2,71
2,2,1,2,3057.5,3,4,3,3,1,1,0,1,1
2,2,1,1,3571.5,5,3,1,1,2,0,1,0,1
2,1,1,1,1161.0,11,9,27,28,22,24,1,1,37
3,1,0,2,1506.0,15,11,5,5,37,35,1,0,11
2,2,1,1,1252.5,21,15,25,20,4,2,0,4,24
2,2,1,2,3057.5,6,9,6,8,1,0,1,0,1
2,2,1,1,3571.5,2,0,7,5,2,2,0,0,2
3,2,1,2,1811.0,11,11,11,9,7,11,2,2,20
3,1,0,2,1506.0,13,14,10,10,45,38,2,2,12
2,2,1,2,3057.5,0,0,6,5,0,0,0,2,3
3,2,1,2,1811.0,0,1,5,6,3,0,1,0,0
1,1,1,1,3384.5,0,0,0,0,7,21,0,0,0
1,1,1,1,3384.5,6,8,20,20,13,10,2,2,13
3,2,1,2,1811.0,5,5,3,2,2,3,1,0,8
3,1,1,2,1506.0,22,18,4,4,33,29,1,0,7
3,1,1,1,2299.5,3,5,1,2,4,10,1,0,0
1,1,1,2,1852.0,2,3,1,1,4,0,0,2,2
3,1,0,1,1327.5,7,11,0,0,5,8,0,0,3
3,1,0,1,1327.5,4,4,0,0,4,6,0,0,11
3,1,0,2,1506.0,2,1,3,3,30,18,0,0,2
1,1,1,2,1852.0,0,2,4,3,5,7,2,0,6
2,2,1,1,4114.0,0,0,3,4,0,0,0,0,1
2,2,1,1,4077.5,0,0,1,1,5,2,0,2,0
2,2,1,2,3057.5,1,3,7,7,1,2,0,2,2
2,2,1,1,4114.0,0,0,0,0,0,0,0,0,0
2,2,1,1,1252.5,13,6,31,32,3,3,0,2,19
3,1,1,2,1506.0,10,8,10,9,27,28,3,1,4
2,2,1,1,1252.5,6,9,10,12,0,1,2,2,8
2,2,0,2,3057.5,3,3,7,8,1,1,2,1,5
3,1,1,2,1506.0,4,7,6,8,25,19,0,0,2
2,2,1,1,4376.0,0,0,0,0,1,3,2,1,1
2,2,1,1,2360.5,1,2,2,2,9,5,1,0,1
2,2,1,1,4077.5,5,2,3,1,0,3,1,2,13
1,1,1,2,1852.0,5,5,6,7,0,1,4,2,9
3,2,1,2,1811.0,0,0,2,2,1,3,0,0,0
2,2,1,1,3571.5,10,10,2,1,4,2,1,0,5
1,1,1,1,3384.5,16,14,22,20,7,7,3,4,23
3,1,1,1,2299.5,12,14,19,20,14,12,0,2,16
2,2,1,1,1073.25,2,3,5,8,0,0,2,0,0
2,2,1,2,3057.5,0,2,6,6,0,3,0,0,3
2,2,1,1,4077.5,6,1,5,2,1,2,4,1,8
2,2,1,1,2360.5,8,8,2,1,8,6,1,2,8
2,2,1,1,2064.333333,21,26,0,0,2,2,1,1,10
2,2,1,1,890.0,4,6,6,6,0,1,1,0,0
3,1,0,2,1506.0,7,7,5,5,13,10,0,0,5
2,2,0,1,1252.5,5,5,18,20,6,4,0,1,7
2,1,1,1,1161.0,8,7,32,30,22,20,2,1,21
2,2,1,1,2064.333333,18,14,0,0,3,2,0,0,3
2,2,1,1,1252.5,19,20,25,26,3,2,3,0,19
2,1,1,1,1161.0,2,3,5,8,6,16,0,0,0
2,2,1,1,4077.5,2,5,2,1,1,2,4,4,16
2,2,0,1,890.0,1,2,3,4,1,2,2,1,0
2,2,1,1,1252.5,0,0,1,3,1,1,0,0,0
2,2,1,1,3571.5,0,1,1,1,1,2,1,0,0
2,2,0,1,4376.0,0,0,0,0,1,1,2,0,3
2,2,1,2,3057.5,3,2,2,2,0,0,1,0,3
2,2,0,1,1252.5,13,8,19,15,6,1,2,1,13
2,2,1,1,4077.5,14,15,3,6,1,2,0,1,17
2,2,1,1,3571.5,0,0,0,0,1,4,0,0,0
3,1,0,1,1327.5,5,5,1,1,1,0,0,0,0
2,2,1,1,4114.0,0,3,1,1,1,1,0,0,0
2,2,1,1,3571.5,0,0,1,2,2,1,0,1,3
2,2,0,1,1073.25,8,10,4,5,7,6,2,1,2
2,2,1,1,1073.25,24,21,9,6,3,0,1,2,1
2,2,1,2,3057.5,0,0,0,0,1,0,0,0,0
3,2,1,2,1811.0,2,2,3,3,3,2,0,1,1
2,2,1,2,3057.5,7,5,4,2,1,2,1,1,8
2,2,1,1,4114.0,9,4,1,2,4,0,0,0,12
3,1,1,1,1943.0,9,8,8,9,9,8,1,0,8
3,1,1,2,1506.0,8,9,5,5,32,34,0,0,5
1,1,1,1,3384.5,10,11,23,23,5,11,1,1,12
2,2,1,1,1252.5,82,113,41,32,9,10,7,12,54
2,2,0,2,1224.0,4,3,3,3,6,1,0,0,3
3,1,1,1,2299.5,10,10,16,16,6,9,0,3,15
2,2,1,2,1224.0,4,7,12,14,1,3,1,0,7
2,2,1,1,2064.333333,19,20,0,0,0,0,3,1,5
3,2,1,2,1811.0,5,7,6,4,2,3,1,0,6
2,2,1,1,4114.0,0,0,0,0,0,0,0,0,0
2,2,0,1,4114.0,7,4,1,1,0,2,0,0,5
2,2,1,1,1073.25,8,7,16,17,2,2,3,0,0
2,1,1,1,1161.0,8,8,14,14,10,13,0,3,18
1,1,1,2,1852.0,4,4,3,2,3,4,0,1,4
2,2,1,2,3057.5,12,11,5,7,0,0,0,0,0
3,1,0,1,1327.5,8,7,9,8,2,1,2,0,11
2,2,0,1,890.0,0,0,1,2,0,0,0,0,2
2,2,1,1,1252.5,4,5,32,34,3,5,3,2,12
3,1,1,1,1327.5,51,48,39,37,10,12,4,4,49
3,1,1,1,2299.5,21,22,19,22,11,11,2,1,22
2,2,1,1,1073.25,0,0,1,1,0,0,0,0,0
2,2,0,1,1252.5,16,14,15,14,4,1,1,1,15
2,2,0,1,4376.0,0,0,0,0,8,0,0,0,0
2,2,1,2,3057.5,4,7,8,10,4,1,2,2,9
3,1,1,2,1506.0,4,3,5,4,17,18,0,0,1
1,1,1,1,3384.5,11,8,23,23,15,21,1,0,11
2,2,1,1,4077.5,5,0,5,3,2,2,1,0,0
1,1,1,1,3384.5,7,6,14,14,8,4,1,2,12
2,2,1,1,2064.333333,2,2,0,0,2,4,1,0,0
2,2,0,1,4077.5,7,7,3,2,4,4,1,2,17
2,2,1,2,1224.0,5,6,4,5,3,2,1,0,3
3,1,1,1,1943.0,6,9,11,11,16,13,0,1,14
2,2,1,1,1073.25,0,0,0,0,2,4,0,0,0
2,2,1,1,3571.5,1,0,1,2,2,2,1,0,2
2,2,0,2,1224.0,3,0,5,5,1,2,0,2,1
2,2,1,1,4077.5,11,10,1,1,1,2,2,3,19
2,2,1,1,4077.5,1,5,1,2,2,3,0,1,3
3,2,1,2,1811.0,10,6,2,6,3,3,4,3,12
3,2,1,2,1811.0,4,4,6,3,3,4,1,0,7
3,1,1,2,1506.0,6,6,9,10,39,39,2,1,4
2,2,0,2,1224.0,4,4,5,5,2,6,0,0,3
2,2,1,2,3057.5,0,0,0,0,2,8,0,0,0
3,1,1,1,1943.0,11,12,8,8,10,8,1,1,14
2,2,0,2,3057.5,4,5,4,6,0,0,0,1,4
3,1,0,2,1506.0,0,0,0,0,17,9,0,0,0
2,2,1,2,1224.0,12,12,4,4,14,5,2,1,4
2,2,1,1,4376.0,1,1,0,0,5,4,1,0,1
2,2,1,1,4077.5,1,4,5,4,11,3,0,2,9
2,2,1,1,2360.5,1,0,3,4,11,11,3,0,1
2,1,1,1,1161.0,5,6,14,14,5,11,4,2,18
3,1,1,2,1506.0,14,14,10,9,29,28,0,1,7
2,2,1,2,3057.5,3,5,9,7,4,2,2,3,7
3,1,1,1,1327.5,4,6,13,13,1,2,3,5,17
2,2,1,2,3057.5,3,1,10,9,3,2,2,0,1
2,1,1,1,1161.0,9,11,20,17,14,10,1,0,12
3,2,1,2,1811.0,12,13,13,12,5,1,2,2,15
3,1,1,2,1506.0,9,8,11,12,31,40,1,4,4
3,2,1,2,1811.0,6,7,15,11,3,6,3,3,10
2,2,1,1,1073.25,7,5,13,10,5,7,3,2,1
2,2,1,1,4114.0,6,4,3,2,2,1,0,0,16
2,2,0,1,4376.0,4,3,0,0,8,1,2,3,2
2,2,1,1,890.0,1,1,3,2,0,2,0,0,0
2,2,1,1,4077.5,5,6,2,1,2,1,2,1,8
2,2,1,1,3571.5,2,0,2,3,5,7,0,1,4
2,2,1,2,3057.5,1,1,4,5,3,2,1,1,4
1,1,1,1,3384.5,28,23,21,22,26,31,5,5,45
3,2,1,2,1811.0,4,4,4,4,1,3,2,1,3
2,2,1,1,4376.0,2,1,0,0,3,3,2,2,3
2,2,1,1,2360.5,6,6,3,3,14,10,2,1,6
2,1,1,1,1161.0,11,14,26,26,18,25,3,1,34
1,1,1,1,3384.5,11,12,21,22,11,14,0,1,13
2,2,1,2,3057.5,5,6,14,13,1,2,3,1,6
3,2,0,2,1811.0,12,8,4,5,2,1,2,4,14
2,2,1,1,2485.5,2,1,9,10,12,19,0,0,7
1,1,1,1,3384.5,17,18,30,31,28,31,4,6,30
2,2,1,1,4114.0,6,3,2,3,3,1,0,0,12
2,2,1,1,1073.25,16,16,28,26,4,5,2,3,2
2,1,1,1,1161.0,22,25,25,27,45,35,4,3,73
2,2,1,1,4376.0,0,0,0,0,3,1,2,2,5
1,1,1,1,3384.5,23,26,23,22,28,37,6,3,37
2,2,0,1,1073.25,7,6,12,13,6,5,2,0,0
1,1,1,1,3384.5,12,9,21,23,15,18,2,2,20
2,2,1,1,4077.5,0,0,1,3,1,1,0,1,33
2,2,1,1,4077.5,7,6,7,7,1,0,0,2,7
2,2,1,1,4077.5,5,12,3,2,2,2,0,2,15
2,2,0,2,1224.0,10,9,8,6,4,2,0,0,7
2,2,1,1,1252.5,11,10,33,32,1,3,1,1,9
2,2,1,1,1252.5,20,22,10,10,4,6,1,3,25
2,2,0,1,2485.5,9,7,2,1,11,11,0,0,14
2,2,1,1,4077.5,2,6,2,3,2,3,2,1,12
1,1,1,1,3384.5,31,29,22,24,21,29,1,8,53
2,2,1,1,3571.5,0,0,0,0,5,4,0,0,0
1,1,0,1,3384.5,4,6,15,12,15,12,0,2,14
1,1,1,2,1852.0,1,2,4,3,4,2,2,1,3
3,1,1,1,2299.5,19,27,26,28,15,15,2,1,19
3,2,1,2,1811.0,5,5,9,10,4,4,1,3,10
3,1,1,2,1506.0,0,0,6,8,20,16,0,0,0
3,1,0,2,1506.0,0,0,0,0,11,2,0,0,0
2,2,1,1,3571.5,0,0,3,3,4,2,0,0,2
3,2,1,2,1811.0,1,1,6,6,3,7,0,0,1
1,1,1,1,3384.5,21,14,25,23,43,50,5,4,63
1,1,1,2,1852.0,2,1,6,5,3,4,1,1,4
2,2,1,1,4114.0,2,3,1,1,2,1,0,0,9
2,2,0,2,1224.0,13,16,7,6,6,5,0,2,2
2,2,1,1,4376.0,0,0,0,0,10,3,0,0,1
2,1,1,1,1161.0,25,25,23,25,16,20,3,3,51
2,1,1,1,1161.0,13,17,24,23,21,16,1,1,25
3,1,0,2,1506.0,0,0,0,0,21,14,0,0,0
2,2,1,1,1252.5,85,78,28,24,0,0,7,10,72
3,1,1,2,1506.0,12,7,11,11,34,33,2,0,4
2,2,1,1,1252.5,0,0,0,0,0,1,0,0,0
2,2,1,2,1224.0,1,3,5,5,2,1,0,0,5
2,2,1,1,1252.5,10,11,22,25,5,4,1,1,9
2,2,1,1,2360.5,0,0,1,2,4,4,0,0,0
2,2,0,1,1073.25,25,22,11,6,6,1,7,3,0
3,1,1,1,1327.5,11,11,0,0,7,8,0,3,8
2,2,1,2,3057.5,9,10,8,7,3,2,3,5,14
3,1,0,1,1943.0,7,6,7,9,13,9,0,2,10
2,2,1,1,4114.0,5,7,1,2,2,3,0,0,1
2,2,1,1,2485.5,5,6,13,12,10,15,0,0,14
3,1,1,1,1327.5,4,1,0,0,0,3,0,0,0
2,2,1,1,4077.5,17,13,4,8,2,3,3,1,10
2,2,0,1,4114.0,2,0,2,1,3,2,0,0,8
2,2,1,2,1224.0,2,2,4,5,9,8,1,0,1
3,1,0,2,1506.0,1,3,4,4,28,25,1,3,3
3,1,1,1,1327.5,6,9,0,0,7,8,4,4,5
2,2,0,1,3571.5,0,1,1,3,13,9,2,1,1
3,1,1,1,1327.5,18,21,0,0,5,7,2,0,15
3,1,1,1,1327.5,8,8,19,17,6,5,0,1,10
1,1,1,1,3384.5,11,9,21,21,22,33,6,2,31
3,1,1,2,1506.0,9,9,12,13,52,56,0,3,17
2,2,0,2,3057.5,1,2,4,3,0,0,0,1,4
3,1,0,1,1943.0,15,17,6,5,12,14,0,1,17
2,2,0,1,890.0,7,5,3,2,1,4,0,1,5
2,2,1,1,1252.5,12,13,22,18,2,7,3,2,22
2,2,0,2,1224.0,9,9,7,6,9,4,0,0,7
2,2,1,2,3057.5,5,6,5,4,2,2,2,2,5
2,2,1,1,4077.5,1,1,1,1,3,0,2,0,0
2,2,1,1,890.0,1,1,2,3,3,2,1,1,2
3,1,0,2,1506.0,8,8,6,6,26,26,0,2,4
2,2,1,1,890.0,7,8,2,2,1,0,0,0,2
2,1,1,1,1161.0,6,9,23,19,11,11,3,2,15
1,1,1,1,3384.5,22,24,27,26,42,32,2,2,37
3,1,0,1,1943.0,10,12,3,4,5,5,1,1,8
3,1,1,1,1327.5,39,40,0,0,10,7,3,2,36
3,1,0,1,2299.5,13,14,15,13,8,4,1,1,10
2,2,1,1,2360.5,0,0,3,3,9,7,1,1,0
2,2,1,1,3571.5,5,9,1,2,2,2,0,1,1
3,1,1,1,2299.5,20,21,15,14,28,20,1,5,40
2,2,1,2,1224.0,2,2,2,2,4,4,1,1,1
2,2,1,1,1252.5,12,12,27,28,3,5,1,2,13
2,2,1,1,1252.5,54,35,28,30,10,11,4,5,49
1,1,1,2,1852.0,5,5,2,2,7,5,4,4,5
3,1,1,2,1506.0,11,12,5,5,20,13,1,0,4
1,1,1,2,1852.0,9,9,5,7,6,7,2,6,7
1,1,0,2,1852.0,1,0,3,1,0,0,0,0,3
3,1,0,1,1327.5,4,4,0,0,3,15,1,1,4
3,1,1,1,2299.5,16,17,16,16,5,8,3,1,12
3,1,1,1,2299.5,0,0,1,2,1,1,0,0,0
2,2,0,1,4077.5,7,10,1,1,2,0,0,0,17
1,1,1,1,3384.5,8,8,28,25,8,13,0,3,17
2,2,1,1,1252.5,9,5,26,24,0,1,1,0,18
1,1,0,1,3384.5,24,26,12,11,12,8,6,8,36
3,1,1,1,1327.5,38,34,0,0,5,9,1,2,30
2,2,0,2,1224.0,3,0,4,3,3,5,1,1,1
2,2,1,1,1252.5,0,0,0,0,0,0,0,0,0
2,2,1,1,4077.5,4,4,8,8,1,1,1,2,6
1,1,0,1,3384.5,9,11,11,12,18,12,1,2,19
3,1,1,1,2299.5,8,11,22,25,8,9,2,0,6
2,2,1,1,4376.0,0,0,0,0,5,3,0,1,2
2,2,1,2,1224.0,7,5,9,11,16,12,0,1,6
3,2,1,2,1811.0,4,7,3,5,2,2,2,1,5
1,1,0,2,1852.0,0,1,0,0,0,0,0,0,2
